Species,ElementalState,ElementSymbol,PhysicalState,dHf0,S0,Cp,TK,TC,dH,dG,logK,dHmCl,dGmCl,dGStableCl
BiCl3(g),n,Bi,g,-379100,177.00,105.00,1223,950,-356945.8416,-94917.48008,4.053852254,-118981.9472,-31639.16003,y
Si(s),y,Si,s,0,18.83,20.00,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
SiCl2(g),n,Si,g,-165640,280.40,50.88,1223,950,-171319.2277,-218481.7767,9.331187915,-85659.61386,-109240.8884,n
SiCl4(g),n,Si,g,-657010,330.73,90.25,1223,950,-660515.2054,-496493.7834,21.20486597,-165128.8014,-124123.4459,y
Ge(s),y,Ge,s,0,31.09,23.35,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
GeCl(g),n,Ge,g,155180,247.00,36.86,1223,950,150557.9111,22868.76164,-0.976707144,150557.9111,22868.76164,n
GeCl4(g),n,Ge,g,-495800,347.72,96.11,1223,950,-496980.6804,-338744.0484,14.46749664,-124245.1701,-84686.01211,y
Sn(s),y,Sn,s,0,51.55,26.99,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
SnCl4(g),n,Sn,g,-471500,365.80,98.30,1223,950,-474024.7054,-312877.3334,13.36274923,-118506.1764,-78219.33336,y
Pb(s),y,Pb,s,0,64.81,26.44,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
PbCl2(s),n,Pb,s,-286860,136.00,0.00,1223,950,-345560.2277,-159888.0367,6.828694541,-172780.1139,-79944.01836,y
Al(s),y,Al,s,0,28.33,24.35,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
AlCl3(g),n,Al,g,-583200,140.00,0.00,1223,950,-657088.5916,-384554.6601,16.42403248,-219029.5305,-128184.8867,y
AlCl3(s),n,Al,s,-704200,110.67,91.84,1223,950,-693136.5916,-384732.0701,16.43160952,-231045.5305,-128244.0234,n
Ga(s),y,Ga,s,0,40.88,25.86,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
GaCl3(s),n,Ga,s,-524700,142.00,0.00,1223,950,-599985.3416,-314548.7601,13.43413457,-199995.1139,-104849.5867,y
GaCl3(g),n,Ga,g,-447700,,0.00,1223,950,-522985.3416,-63882.76008,2.728383336,-174328.4472,-21294.25336,n
In(s),y,In,s,0,57.82,26.74,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
InCl3(g),n,In,g,-374000,,0.00,1223,950,-450099.3416,29720.85992,-1.269354969,-150033.1139,9906.953306,y
InCl3(s),n,In,s,-537200,,0.00,1223,950,-613299.3416,-133479.1401,5.700790965,-204433.1139,-44493.04669,n
Tl(s),y,Tl,s,0,64.18,26.32,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
TlCl3(s),n,Tl,s,-315100,,0.00,1223,950,-390810.8416,96787.63992,-4.133725336,-130270.2805,32262.54664,y
Zn(s),y,Zn,s,0,41.63,25.40,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
ZnCl2(g),n,Zn,g,-266100,,0.00,1223,950,-323838.2277,-187.1767209,0.007994173,-161919.1139,-93.58836044,y
ZnCl2(s),n,Zn,s,-415050,111.46,71.34,1223,950,-406798.7277,-219463.2567,9.373106168,-203399.3639,-109731.6284,n
Cd(s),y,Cd,s,0,51.76,25.98,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
CdCl2(s),n,Cd,s,-391500,115.27,74.68,1223,950,-380695.7277,-185630.8967,7.928152206,-190347.8639,-92815.44836,y
Hg(l),y,Hg,l,0,76.02,27.98,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
HgCl2(s),n,Hg,s,-224300,146.00,0.00,1223,950,-284427.5027,-97275.48172,4.154560683,-142213.7514,-48637.74086,y
Ag(s),y,Ag,s,0,42.55,25.35,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
AgCl(s),n,Ag,s,-127068,96.20,50.79,1223,950,-120657.6139,-49902.78336,2.131309329,-120657.6139,-49902.78336,y
AgCl(g),n,Ag,g,,245.92,35.86,1223,950,-7399.86386,-119752.5934,5.114540758,-7399.86386,-119752.5934,n
Au(s),y,Au,s,0,46.40,25.42,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
AuCl(s),n,Au,s,197000,,0.00,1223,950,156366.7361,349482.7166,-14.92613687,156366.7361,349482.7166,y
Pd(s),y,Pd,s,0,37.57,25.98,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
PdCl2(s),n,Pd,s,-198700,,0.00,1223,950,-256974.7277,61710.94328,-2.635626718,-128487.3639,30855.47164,y
Rh(s),y,Rh,s,0,31.51,24.98,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
RhCl3(g),n,Rh,g,67,,0.00,1223,950,9550.272279,320824.5633,-13.70216927,4775.13614,160412.2816,n
RhCl3(s),n,Rh,s,-299,,0.00,1223,950,-356549.7277,-45275.43672,1.933678929,-178274.8639,-22637.71836,y
Ru(s),y,Ru,s,0,28.53,24.06,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
RuCl4(g),n,Ru,g,-51900,,0.00,1223,950,-142641.9554,437725.3566,-18.69491185,-35660.48886,109431.3391,y
RuCl3(g),n,Ru,g,-1300,,0.00,1223,950,-74920.34158,369078.1899,-15.76304439,-24973.44719,123026.0633,n
RuCl3(s),n,Ru,s,-205000,,0.00,1223,950,-278620.3416,165378.1899,-7.063174743,-92873.44719,55126.06331,n
Pt(s),y,Pt,s,0,41.63,25.86,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
PtCl4(s),n,Pt,s,-231800,,0.00,1223,950,-324206.9554,272181.6566,-11.6246683,-81051.73886,68045.41414,y
Ir(s),y,Ir,s,0,35.48,25.10,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
IrCl3(s),n,Ir,s,-245600,,0.00,1223,950,-320182.3416,132316.0399,-5.651115856,-106727.4472,44105.34664,y
Os(s),y,Os,s,0,32.60,24.70,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
OsCl4(g),n,Os,g,-79000,,0.00,1223,950,-170333.9554,415010.9666,-17.7247978,-42583.48886,103752.7416,y
OsCl4(s),n,Os,s,-254800,,0.00,1223,950,-346133.9554,239210.9666,-10.2165156,-86533.48886,59802.74164,n
Re(s),y,Re,s,0,36.86,25.48,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
ReCl5(g),n,Re,g,-318000,,0.00,1223,950,-427177.0693,299746.6132,-12.80194631,-85435.41386,59949.32264,y
ReCl5(g),n,Re,s,-372000,,0.00,1223,950,-481177.0693,245746.6132,-10.49564802,-96235.41386,49149.32264,n
Mo(s),y,Mo,s,0,28.66,24.06,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
MoCl4(g),n,Mo,g,-377000,,0.00,1223,950,-467741.9554,112784.3466,-4.81693232,-116935.4889,28196.08664,n
MoCl4(s),n,Mo,s,-480000,,0.00,1223,950,-570741.9554,9784.346558,-0.417881883,-142685.4889,2446.08664,n
MoCl5(s),n,Mo,s,-527200,,0.00,1223,950,-635063.5693,81831.5132,-3.494960717,-127012.7139,16366.30264,y
W(s),y,W,s,0,32.64,24.27,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
WCl4(g),n,W,g,-305000,,0.00,1223,950,-395936.2054,189457.6366,-8.091589309,-98984.05136,47364.40914,n
WCl4(s),n,W,s,-496000,,0.00,1223,950,-586936.2054,-1542.363442,0.065873151,-146734.0514,-385.5908604,n
WCl5(g),n,W,g,-421700,,0.00,1223,950,-529757.8193,192004.8032,-8.200376828,-105951.5639,38400.96064,y
WCl5(s),n,W,s,-496200,,0.00,1223,950,-604257.8193,117504.8032,-5.018539377,-120851.5639,23500.96064,n
V(s),y,V,s,0,28.91,24.89,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
VCl2(g),n,V,g,-256500,,0.00,1223,950,-313766.4777,-5671.986721,0.242246171,-156883.2389,-2835.99336,n
VCl2(s),n,V,s,-452000,97.10,72.22,1223,950,-442462.9777,-253121.7867,10.81063598,-221231.4889,-126560.8934,n
VCl4(g),n,V,g,-525000,362.40,96.20,1223,950,-527524.7054,-389907.8534,16.65266323,-131881.1764,-97476.96336,y
Nb(s),y,Nb,s,0,36.40,24.60,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
NbCl5(g),n,Nb,g,-703700,400.56,120.83,1223,950,-700295.3193,-463819.0968,19.80935534,-140059.0639,-92763.81936,y
NbCl5(s),n,Nb,s,-797500,210.50,148.10,1223,950,-768870.5693,-299950.9668,12.81067409,-153774.1139,-59990.19336,n
Ta(s),y,Ta,s,0,41.51,25.36,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
TaCl4(g),n,Ta,g,-560700,,0.00,1223,950,-652644.4554,-56402.60344,2.408911624,-163161.1139,-14100.65086,y
TaCl4(s),n,Ta,s,-701700,,0.00,1223,950,-793644.4554,-197402.6034,8.430912707,-198411.1139,-49350.65086,n
Ti(s),y,Ti,s,0,30.63,25.02,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
TiCl4(g),n,Ti,g,-763200,354.90,95.40,1223,950,-766584.9554,-617692.0434,26.38115003,-191646.2389,-154423.0109,y
TiCl4(l),n,Ti,l,-804200,252.34,145.18,1223,950,-761538.4554,-487214.6634,20.80856192,-190384.6139,-121803.6659,n
Zr(s),y,Zr,s,0,38.99,25.36,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
ZrCl4(g),n,Zr,g,-870300,368.30,98.28,1223,950,-871335.4554,-728606.4634,31.11821923,-217833.8639,-182151.6159,y
ZrCl4(s),n,Zr,s,-980520,181.60,119.79,1223,950,-961658.7054,-590595.6134,25.22388244,-240414.6764,-147648.9034,n
Hf(s),y,Hf,s,0,43.56,25.73,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
HfCl4(g),n,Hf,g,-884000,,0.00,1223,950,-976286.7054,-377537.7034,16.12434368,-244071.6764,-94384.42586,n
HfCl(s),n,Hf,s,-990350,190.80,120.50,1223,950,-971174.2054,-605773.6034,25.87212267,-242793.5514,-151443.4009,y
Sc(s),y,Sc,s,0,34.64,25.52,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
ScCl3(s),n,Sc,s,-925000,,0.00,1223,950,-999970.8416,-548499.7801,23.42600191,-333323.6139,-182833.26,y
Y(s),y,Y,s,0,44.43,26.53,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
YCl3(s),n,Y,s,-1000000,,0.00,1223,950,-1075905.092,-612460.8601,26.15773023,-358635.0305,-204153.62,n
YCl3(g),n,Y,g,-750200,,75.00,1223,950,-756730.0916,-293285.8601,12.52601253,-252243.3639,-97761.95336,y
Lu(s),y,Lu,s,0,50.96,26.86,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
LuCl3(s),n,Lu,s,-945600,,0.00,1223,950,-1021810.342,-550379.9201,23.50630124,-340603.4472,-183459.9734,n
LuCl3(g),n,Lu,g,-649000,,0.00,1223,950,-725210.3416,-253779.9201,10.83874435,-241736.7805,-84593.30669,y
Yb(s),y,Yb,s,0,59.87,26.74,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
YbCl2(s),n,Yb,s,-799600,,0.00,1223,950,-858577.7277,-512619.1567,21.8935682,-429288.8639,-256309.5784,y
YbCl3(s),n,Yb,s,-959800,,0.00,1223,950,-1035899.342,-553571.9901,23.64263208,-345299.7805,-184523.9967,n
Tm(s),y,Tm,s,0,74.01,27.03,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
TmCl2(s),n,Tm,s,-987,,0.00,1223,950,-1045845.978,-682594.1867,29.15307044,-522922.9889,-341297.0934,y
Er(s),y,Er,s,0,73.18,28.12,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
ErCl3(s),n,Er,s,-998700,,0.00,1223,950,-1076075.842,-577470.3601,24.66331301,-358691.9472,-192490.12,n
ErCl3(g),n,Er,g,-699000,,0.00,1223,950,-776375.8416,-277770.3601,11.86335751,-258791.9472,-92590.12003,y
Ho(s),y,Ho,s,0,75.30,27.15,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
HoCl3(s),n,Ho,s,-1005400,,0.00,1223,950,-1081878.592,-580680.3501,24.8004092,-360626.1972,-193560.1167,n
HoCl3(g),n,Ho,g,-703000,,0.00,1223,950,-779478.5916,-278280.3501,11.88513879,-259826.1972,-92760.11669,y
Dy(s),y,Dy,s,0,74.77,28.16,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
DyCl3(s),n,Dy,s,-1000000,,0.00,1223,950,-1077412.842,-576862.7901,24.63736416,-359137.6139,-192287.5967,y
Tb(s),y,Tb,s,0,73.22,28.91,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
TbCl3(s),n,Tb,s,-997000,,0.00,1223,950,-1075106.592,-576452.1901,24.61982775,-358368.8639,-192150.73,y
Gd(s),y,Gd,s,0,68.07,37.04,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
GdCl3(s),n,Gd,s,-1008000,,0.00,1223,950,-1076505.228,-720518.0567,30.77276963,-538252.6139,-360259.0284,y
Eu(s),y,Eu,s,0,77.78,27.66,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
EuCl2(s),n,Eu,s,-824000,,0.00,1223,950,-883828.7277,-515966.2267,22.03651898,-441914.3639,-257983.1134,n
EuCl2(g),n,Eu,g,-460000,,0.00,1223,950,-519828.7277,-151966.2267,6.490360155,-259914.3639,-75983.11336,y
Sm(s),y,Sm,s,0,69.58,29.54,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
SmCl2(s),n,Sm,s,-815500,,0.00,1223,950,-877067.7277,-519233.8267,22.17607565,-438533.8639,-259616.9134,y
SmCl3(s),n,Sm,s,-1025900,,0.00,1223,950,-1104589.342,-610386.6601,26.06914275,-368196.4472,-203462.22,n
Nd(s),y,Nd,s,0,71.50,27.45,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
NdCl3(s),n,Nd,s,-1041000,,113.00,1223,950,-996109.4777,-635927.4167,27.15996874,-498054.7389,-317963.7084,n
NdCl3(g),n,Nd,g,-724000,,0.00,1223,950,-783634.4777,-423452.4167,18.08532562,-391817.2389,-211726.2084,y
Pr(s),y,Pr,s,0,73.20,27.20,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
PrCl3(s),n,Pr,s,-1072700,,0.00,1223,950,-1149224.842,-650594.9001,27.78640562,-383074.9472,-216864.9667,y
Ce(s),y,Ce,s,0,72.00,26.94,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
CeCl3(s),n,Ce,s,-1053500,,0.00,1223,950,-1129784.342,-632622.0001,27.01879695,-376594.7805,-210874,y
La(s),y,La,s,0,56.90,27.11,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
LaCl3(s),n,La,s,-1071100,,108.80,1223,950,-1046901.592,-568206.5501,24.26766284,-348967.1972,-189402.1834,y
LaCl3(g),n,La,g,-741,,0.00,1223,950,-817441.5916,-338746.5501,14.46760349,-272480.5305,-112915.5167,n
U(s),y,U,s,0,50.21,27.67,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
UCl4(s),n,U,s,-1019200,197.10,122.01,1223,950,-1000417.33,-634588.6784,27.10279226,-250104.3326,-158647.1696,n
UCl4(g),n,U,g,-809600,419.00,0.00,1223,950,-903676.5804,-809231.6284,34.56165775,-225919.1451,-202307.9071,y
UCl4(s),n,U,s,-1092000,285.80,175.70,1223,950,-222607.1832,307478.9298,-13.13218758,-37101.19719,51246.48831,n
UCl4(g),n,U,g,-1013000,431.00,0.00,1223,950,-306129.6832,46376.82984,-1.980718578,-51021.61386,7729.47164,n
Pa(s),y,Pa,s,0,51.90,0.00,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
PaCl4(s),n,Pa,s,-1043000,,0.00,1223,950,-1111486.455,-502537.6334,21.46299413,-277871.6139,-125634.4084,y
Th(s),y,Th,s,0,53.39,27.32,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
ThCl4(s),n,Th,s,-1186600,190.40,0.00,1223,950,-1280357.455,-902445.5634,38.54275291,-320089.3639,-225611.3909,n
ThCl4(g),n,Th,g,-966100,397.50,101.70,1223,950,-965784.9554,-841156.3634,35.92513852,-241446.2389,-210289.0909,y
Be(s),y,Be,s,0,9.50,16.44,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
BeCl2(s),n,Be,s,-495800,75.81,62.43,1223,950,-487502.4777,-295862.0467,12.63603947,-243751.2389,-147931.0234,y
BeCl2(g),n,Be,g,-358600,,0.00,1223,950,-408050.2277,-123694.1667,5.282882312,-204025.1139,-61847.08336,n
Mg(s),y,Mg,s,0,32.68,24.89,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
MgCl2(s),n,Mg,s,-641320,89.62,71.38,1223,950,-632559.9777,-429460.0367,18.34190643,-316279.9889,-214730.0184,n
MgCl2(g),n,Mg,g,-400400,,0.00,1223,950,-457666.4777,-144961.2767,6.191184152,-228833.2389,-72480.63836,y
Ca(s),y,Ca,s,0,41.42,25.31,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
CaCl2(s),n,Ca,s,-795800,104.60,72.59,1223,950,-786309.2277,-590840.8067,25.23435445,-393154.6139,-295420.4034,n
CaCl2(g),n,Ca,g,-471500,290.27,59.33,1223,950,-474274.7277,-505880.7167,21.60577464,-237137.3639,-252940.3584,y
Sr(s),y,Sr,s,0,52.30,26.40,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
SrCl2(s),n,Sr,s,-828900,114.85,75.60,1223,950,-817633.2277,-621394.3167,26.53927126,-408816.6139,-310697.1584,n
SrCl2(g),n,Sr,g,-485800,310.81,55.77,1223,950,-492875.9777,-536296.1467,22.90479416,-246437.9889,-268148.0734,y
Ba(s),y,Ba,s,0,62.80,28.07,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
BaCl2(s),n,Ba,s,-858600,123.68,75.14,1223,950,-849303.4777,-651022.1567,27.80465342,-424651.7389,-325511.0784,n
BaCl2(g),n,Ba,g,-525900,325.29,56.19,1223,950,-534132.2277,-582419.9367,24.8747056,-267066.1139,-291209.9684,y
Li(s),y,Li,s,0,29.12,24.77,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
LiCl(s),n,Li,s,-408610,59.33,47.99,1223,950,-404253.1139,-304831.1634,13.01910352,-404253.1139,-304831.1634,n
LiCl(g),n,Li,g,-195400,212.82,33.22,1223,950,-204705.3639,-293006.5754,12.5140845,-204705.3639,-293006.5754,y
Na(s),y,Na,s,0,51.21,28.24,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
NaCl(s),n,Na,s,-411153,72.13,50.50,1223,950,-407684.1139,-296900.4934,12.68039073,-407684.1139,-296900.4934,n
NaCl(g),n,Na,g,-176650,229.81,35.77,1223,950,-186806.3639,-268865.3834,11.48303284,-186806.3639,-268865.3834,y
K(s),y,K,s,0,64.18,29.58,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
KCl(s),n,K,s,-436747,82.59,51.30,1223,950,-433777.6139,-319924.2634,13.66371816,-433777.6139,-319924.2634,n
KCl(g),n,K,g,-214140,239.10,36.48,1223,950,-224879.1139,-302437.4934,12.91687172,-224879.1139,-302437.4934,y
Rb(s),y,Rb,s,0,76.78,31.06,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
RbCl(s),n,Rb,s,-435350,95.90,52.38,1223,950,-432752.4639,-319767.4434,13.6570205,-432752.4639,-319767.4434,n
RbCl(g),n,Rb,g,-228900,249.56,36.82,1223,950,-240695.4639,-315636.6234,13.48059637,-240695.4639,-315636.6234,y
Cs(s),y,Cs,s,0,85.23,32.17,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
CsCl(s),n,Cs,s,-443040,101.17,52.47,1223,950,-441384.1139,-324509.9534,13.85956944,-441384.1139,-324509.9534,n
CsCl(g),n,Cs,g,-240200,255.96,36.94,1223,950,-252909.3639,-325343.3734,13.89516416,-252909.3639,-325343.3734,y
Ar(g),y,Ar,g,0,154.73,20.79,1500,1227,0,0,0,#DIV/0!,#DIV/0!,n
Cl(g),n,Cl,g,121286,165.07,22.33,1500,1227,125255.1438,44903.89375,-1.563654922,125255.1438,44903.89375,n
Cl2(g),y,Cl,g,0,223.01,36.66,1500,1227,0,0,0,0,0,n
Fe(s),y,Fe,s,0,27.28,30.68,1500,1227,0,0,0,#DIV/0!,#DIV/0!,n
Fe(g),n,Fe,g,415887,180.85,22.18,1500,1227,398747.5462,168400.0462,-5.864069662,#DIV/0!,#DIV/0!,n
FeCl(g),n,Fe,g,251040,257.47,39.84,1500,1227,232980.0992,54948.84918,-1.91344294,232980.0992,54948.84918,n
FeCl2(s),n,Fe,s,-341800,118.00,76.70,1500,1227,-338174.2334,-139743.7334,4.866192177,-169087.1167,-69871.86669,n
FeCl2(l),n,Fe,l,-311328,139.90,102.17,1500,1227,-277083.6874,-111497.1874,3.882583697,-138541.8437,-55748.59369,n
FeCl2(g),n,Fe,g,-141001,299.17,61.73,1500,1227,-152620.5125,-225943.5125,7.867863026,-76310.25625,-112971.7562,n
Fe2Cl4(g),n,Fe,g,-431370,464.38,132.09,1500,1227,-446649.1949,-392361.1949,13.66290231,-111662.2987,-98090.29872,n
FeCl3(l),n,Fe,l,-362228,201.72,133.89,1500,1227,-312191.2165,-72086.96652,2.510230864,-104063.7388,-24028.98884,n
FeCl3(g),n,Fe,g,-253132,344.11,82.30,1500,1227,-264389.7711,-237861.5211,8.282874982,-88129.92369,-79287.17369,y
Fe2Cl6(g),n,Fe,g,-654378,537.02,181.52,1500,1227,-656790.8742,-376943.3742,13.126019,-109465.1457,-62823.89571,n
Cr(s),y,Cr,s,0,23.64,27.88,1500,1227,0,0,0,#DIV/0!,#DIV/0!,n
Cr(g),n,Cr,g,397480,174.20,20.78,1500,1227,374395.617,148558.017,-5.173125426,#DIV/0!,#DIV/0!,n
CrCl2(l),n,Cr,l,-363171,144.92,83.23,1500,1227,-336407.705,-183814.805,6.400846353,-168203.8525,-91907.4025,n
CrCl2(s),n,Cr,s,-395400,115.30,79.56,1500,1227,-377948.1406,-180928.2406,6.300329666,-188974.0703,-90464.1203,n
CrCl2(g),n,Cr,g,-120307,322.49,55.17,1500,1227,-132175.0458,-245941.6458,8.564243161,-66087.5229,-122970.8229,n
CrCl3(s),n,Cr,s,-556472,123.01,112.47,1500,1227,-502424.9939,-149714.8439,5.21340875,-167474.998,-49904.94798,n
CrCl3(g),n,Cr,g,-292521,353.26,82.81,1500,1227,-298927.6824,-291589.5324,10.15380559,-99642.56081,-97196.51081,y
CrCl4(g),n,Cr,g,-427000,,,1500,1227,-565142.1023,139338.2977,-4.852073993,-141285.5256,34834.57443,n
H2(g),y,H,g,0,130.70,28.80,1500,1227,0,0,0,#DIV/0!,#DIV/0!,n
HCl(g),n,H,g,-92300,186.90,29.10,1500,1227,-96959.55914,-112029.3091,3.901113378,-96959.55914,-112029.3091,y
Ni(s),y,Ni,s,0,29.90,26.10,1500,1227,0,0,0,#DIV/0!,#DIV/0!,n
Ni(g),n,Ni,g,429700,182.20,23.40,1500,1227,426454.6,198004.6,-6.894967039,#DIV/0!,#DIV/0!,n
NiCl2(s),n,Ni,s,-305300,97.70,71.70,1500,1227,-295146.7183,-62336.21829,2.170687804,-147573.3591,-31168.10914,y
NiCl2(l),n,Ni,l,,,0.00,1500,1227,0,0,0,#DIV/0!,#DIV/0!,n
NiCl2(g),n,Ni,g,,,0.00,1500,1227,0,0,0,#DIV/0!,#DIV/0!,n
NiCl3(s),n,Ni,s,,,0.00,1500,1227,0,0,0,#DIV/0!,#DIV/0!,n
NiCl3(g),n,Ni,g,,,0.00,1500,1227,0,0,0,#DIV/0!,#DIV/0!,n
NiCl4(s),n,Ni,s,,,0.00,1500,1227,0,0,0,#DIV/0!,#DIV/0!,n
NiCl4(g),n,Ni,g,,,0.00,1500,1227,0,0,0,#DIV/0!,#DIV/0!,n
Co(s),y,Co,s,0,30.00,24.80,1500,1227,0,0,0,#DIV/0!,#DIV/0!,n
Co(g),n,Co,g,424700,179.50,230.00,1500,1227,671350.4,447100.4,-15.56904497,#DIV/0!,#DIV/0!,n
CoCl2(s),n,Co,s,-312500,109.20,78.50,1500,1227,-292610.5183,-76900.01829,2.677832189,-146305.2591,-38450.00914,y
Mn(s),y,Mn,s,0,32.00,26.30,1500,1227,0,0,0,#DIV/0!,#DIV/0!,n
Mn(g),n,Mn,g,280700,173.70,20.80,1500,1227,274089,61539,-2.142926864,#DIV/0!,#DIV/0!,n
MnCl2(s),n,Mn,s,-481300,118.20,72.90,1500,1227,-469944.7183,-264734.2183,9.218642947,-234972.3591,-132367.1091,y
MnCl2(g),n,Mn,g,-263600,,0.00,1500,1227,-339870.5183,42639.98171,-1.484820395,-169935.2591,21319.99086,n
Cu(s),y,Cu,s,0,33.20,24.40,1500,1227,0,0,0,#DIV/0!,#DIV/0!,n
Cu(g),n,Cu,g,337400,166.40,20.70,1500,1227,332952.6,133152.6,-4.636674038,#DIV/0!,#DIV/0!,n
CuCl2(s),n,Cu,s,-220100,108.10,71.90,1500,1227,-207662.9183,14497.58171,-0.504838514,-103831.4591,7248.790856,n
CuCl(s),n,Cu,s,-137200,86.20,48.50,1500,1227,-130560.7591,-42805.50914,1.490584434,-130560.7591,-42805.50914,y
Ti(s),y,Ti,s,0,30.70,25.00,1500,1227,0,0,0,#DIV/0!,#DIV/0!,n
Ti(g),n,Ti,g,473000,180.30,24.40,1500,1227,472278.8,247878.8,-8.631699242,#DIV/0!,#DIV/0!,n
TiCl2(s),n,Ti,s,-513800,87.40,69.80,1500,1227,-504608.3183,-255147.8183,8.884822864,-252304.1591,-127573.9091,n
TiCl4(g),n,Ti,g,-763200,353.20,95.40,1500,1227,-767895.0366,-582624.0366,20.28828385,-191973.7591,-145656.0091,y
Sb(s),y,Sb,s,0,45.69,25.23,1500,1227,0,0,0,#DIV/0!,#DIV/0!,n
SbCl3(s),n,Sb,s,-382170,184.10,107.90,1500,1227,-349787.5374,-55636.78743,1.937398502,-116595.8458,-18545.59581,n
SbCl3(g),n,Sb,g,-313800,337.80,76.69,1500,1227,-318931.9574,-255331.2074,8.891208888,-106310.6525,-85110.40248,y
As(s),y,As,s,0,35.10,24.64,1500,1227,0,0,0,#DIV/0!,#DIV/0!,n
AsCl3(g),n,As,g,-261500,327.17,75.73,1500,1227,-267076.6974,-203415.9474,7.083402369,-89025.56581,-67805.31581,y
Bi(s),y,Bi,s,0,56.74,25.52,1500,1227,0,0,0,#DIV/0!,#DIV/0!,n
BiCl3(g),n,Bi,g,-379100,177.00,105.00,1500,1227,-350551.9174,-29176.16743,1.015979996,-116850.6391,-9725.389144,y
Si(s),y,Si,s,0,18.83,20.00,1500,1227,0,0,0,#DIV/0!,#DIV/0!,n
SiCl2(g),n,Si,g,-165640,280.40,50.88,1500,1227,-173180.1583,-231024.6583,8.04479999,-86590.07914,-115512.3291,n
SiCl4(g),n,Si,g,-657010,330.73,90.25,1500,1227,-661885.3366,-460714.3366,16.04311296,-165471.3341,-115178.5841,y
Ge(s),y,Ge,s,0,31.09,23.35,1500,1227,0,0,0,#DIV/0!,#DIV/0!,n
GeCl(g),n,Ge,g,155180,247.00,36.86,1500,1227,149093.6669,-7516.083144,0.261726978,149093.6669,-7516.083144,n
GeCl4(g),n,Ge,g,-495800,347.72,96.11,1500,1227,-497654.7106,-303578.7106,10.57129583,-124413.6776,-75894.67764,y
Sn(s),y,Sn,s,0,51.55,26.99,1500,1227,0,0,0,#DIV/0!,#DIV/0!,n
SnCl4(g),n,Sn,g,-471500,365.80,98.30,1500,1227,-475101.2166,-277455.2166,9.661616817,-118775.3041,-69363.80414,y
Pb(s),y,Pb,s,0,64.81,26.44,1500,1227,0,0,0,#DIV/0!,#DIV/0!,n
